SOURCE,TARGET,TYPE,IS_GENE_GENE
HMOX1,HMR_0592,Gene->Reaction,
HMOX1,HMR_0593,Gene->Reaction,
HMOX1,HMR_0594,Gene->Reaction,
SARS-CoV2,orf3a,ALG5,Gene->Gene
ALG5,AGPSx,Gene->Reaction,
ALG5,HMR_7594,Gene->Reaction,
SARS-CoV2,orf8,PLOD2,Gene->Gene
PLOD2,AHEXASE2ly,Gene->Reaction,
PLOD2,AHEXASEly,Gene->Reaction,
PLOD2,NACHEX10ly,Gene->Reaction,
PLOD2,NACHEX11ly,Gene->Reaction,
PLOD2,NACHEX12ly,Gene->Reaction,
PLOD2,NACHEX13ly,Gene->Reaction,
PLOD2,NACHEX14ly,Gene->Reaction,
PLOD2,NACHEX15ly,Gene->Reaction,
PLOD2,NACHEX16ly,Gene->Reaction,
PLOD2,NACHEX17ly,Gene->Reaction,
PLOD2,NACHEX18ly,Gene->Reaction,
PLOD2,NACHEX19ly,Gene->Reaction,
PLOD2,NACHEX1ly,Gene->Reaction,
PLOD2,NACHEX20ly,Gene->Reaction,
PLOD2,NACHEX21ly,Gene->Reaction,
PLOD2,NACHEX22ly,Gene->Reaction,
PLOD2,NACHEX23ly,Gene->Reaction,
PLOD2,NACHEX24ly,Gene->Reaction,
PLOD2,NACHEX25ly,Gene->Reaction,
PLOD2,NACHEX26ly,Gene->Reaction,
PLOD2,NACHEX27ly,Gene->Reaction,
PLOD2,NACHEX2ly,Gene->Reaction,
PLOD2,NACHEX3ly,Gene->Reaction,
PLOD2,NACHEX4ly,Gene->Reaction,
PLOD2,NACHEX5ly,Gene->Reaction,
PLOD2,NACHEX6ly,Gene->Reaction,
PLOD2,NACHEX7ly,Gene->Reaction,
PLOD2,NACHEX8ly,Gene->Reaction,
PLOD2,NACHEX9ly,Gene->Reaction,
PLOD2,NACHEXA10ly,Gene->Reaction,
PLOD2,NACHEXA11ly,Gene->Reaction,
PLOD2,NACHEXA12ly,Gene->Reaction,
PLOD2,NACHEXA13ly,Gene->Reaction,
PLOD2,NACHEXA14ly,Gene->Reaction,
PLOD2,NACHEXA15ly,Gene->Reaction,
PLOD2,NACHEXA16ly,Gene->Reaction,
PLOD2,NACHEXA17ly,Gene->Reaction,
PLOD2,NACHEXA18ly,Gene->Reaction,
PLOD2,NACHEXA19ly,Gene->Reaction,
PLOD2,NACHEXA1ly,Gene->Reaction,
PLOD2,NACHEXA20ly,Gene->Reaction,
PLOD2,NACHEXA21ly,Gene->Reaction,
PLOD2,NACHEXA22ly,Gene->Reaction,
PLOD2,NACHEXA2ly,Gene->Reaction,
PLOD2,NACHEXA3ly,Gene->Reaction,
PLOD2,NACHEXA4ly,Gene->Reaction,
PLOD2,NACHEXA5ly,Gene->Reaction,
PLOD2,NACHEXA6ly,Gene->Reaction,
PLOD2,NACHEXA7ly,Gene->Reaction,
PLOD2,NACHEXA8ly,Gene->Reaction,
PLOD2,NACHEXA9ly,Gene->Reaction,
PLOD2,r0013,Gene->Reaction,
PLOD2,HEXA1l,Gene->Reaction,
PLOD2,HEXA2l,Gene->Reaction,
PLOD2,HEXA3e,Gene->Reaction,
PLOD2,HEXAHBl,Gene->Reaction,
PLOD2,HMR_0807,Gene->Reaction,
PLOD2,HMR_0808,Gene->Reaction,
PLOD2,HMR_0821,Gene->Reaction,
PLOD2,HMR_0828,Gene->Reaction,
PLOD2,HMR_0836,Gene->Reaction,
SARS-CoV2,orf8,DNMT1,Gene->Gene
DNMT1,AKR1C1,Gene->Reaction,
DNMT1,HMR_2003,Gene->Reaction,
DNMT1,HMR_2016,Gene->Reaction,
DNMT1,HMR_2018,Gene->Reaction,
DNMT1,HMR_7005,Gene->Reaction,
DNMT1,HMR_7059,Gene->Reaction,
DNMT1,HMR_9804,Gene->Reaction,
SARS-CoV2,orf8,LOX,Gene->Gene
LOX,AKR1C41,Gene->Reaction,
LOX,AKR1C42,Gene->Reaction,
LOX,HSD3A1r,Gene->Reaction,
LOX,HSD3A2r,Gene->Reaction,
LOX,r0747,Gene->Reaction,
LOX,r0750,Gene->Reaction,
LOX,HMR_1742,Gene->Reaction,
LOX,HMR_1743,Gene->Reaction,
LOX,HMR_1770,Gene->Reaction,
LOX,HMR_1771,Gene->Reaction,
LOX,HMR_2003,Gene->Reaction,
LOX,HMR_2016,Gene->Reaction,
LOX,HMR_2018,Gene->Reaction,
LOX,HMR_7005,Gene->Reaction,
LOX,HMR_7059,Gene->Reaction,
LOX,HMR_9804,Gene->Reaction,
SARS-CoV2,orf8,PLD3,Gene->Gene
PLD3,ALASm,Gene->Reaction,
PLD3,r0196,Gene->Reaction,
PLD3,r0517,Gene->Reaction,
PLD3,HMR_0027,Gene->Reaction,
SARS-CoV2,orf8,CHPF,Gene->Gene
CHPF,ALAt4,Gene->Reaction,
CHPF,HOMt4,Gene->Reaction,
CHPF,LEUt4,Gene->Reaction,
CHPF,LYStiDF,Gene->Reaction,
CHPF,ORNtiDF,Gene->Reaction,
CHPF,PHEt4,Gene->Reaction,
CHPF,r0817,Gene->Reaction,
CHPF,ARGtD,Gene->Reaction,
SARS-CoV2,orf8,GGH,Gene->Gene
GGH,ALAt4,Gene->Reaction,
GGH,ASNt4,Gene->Reaction,
GGH,GLYt4,Gene->Reaction,
GGH,LEUt4,Gene->Reaction,
GGH,METt4,Gene->Reaction,
GGH,PHEt4,Gene->Reaction,
GGH,PROt4,Gene->Reaction,
GGH,SERt4,Gene->Reaction,
GGH,THRt4,Gene->Reaction,
GGH,GLNt4,Gene->Reaction,
GGH,SELMETHte,Gene->Reaction,
SARS-CoV2,orf8,NGLY1,Gene->Gene
NGLY1,ALAt4,Gene->Reaction,
NGLY1,ASNt4,Gene->Reaction,
NGLY1,CYSt4,Gene->Reaction,
NGLY1,GLYt4,Gene->Reaction,
NGLY1,ILEt4,Gene->Reaction,
NGLY1,LEUt4,Gene->Reaction,
NGLY1,METt4,Gene->Reaction,
NGLY1,PHEt4,Gene->Reaction,
NGLY1,PROt4,Gene->Reaction,
NGLY1,SERt4,Gene->Reaction,
NGLY1,THRt4,Gene->Reaction,
NGLY1,TRPt4,Gene->Reaction,
NGLY1,TYRt4,Gene->Reaction,
NGLY1,VALt4,Gene->Reaction,
NGLY1,GLNt4,Gene->Reaction,
NGLY1,SELMETHte,Gene->Reaction,
SARS-CoV2,orf8,HS6ST2,Gene->Gene
HS6ST2,ALAt4,Gene->Reaction,
HS6ST2,ASNt4,Gene->Reaction,
HS6ST2,CYSt4,Gene->Reaction,
HS6ST2,GLYt4,Gene->Reaction,
HS6ST2,ILEt4,Gene->Reaction,
HS6ST2,LEUt4,Gene->Reaction,
HS6ST2,METt4,Gene->Reaction,
HS6ST2,PHEt4,Gene->Reaction,
HS6ST2,PROt4,Gene->Reaction,
HS6ST2,SERt4,Gene->Reaction,
HS6ST2,THRt4,Gene->Reaction,
HS6ST2,TRPt4,Gene->Reaction,
HS6ST2,TYRt4,Gene->Reaction,
HS6ST2,VALt4,Gene->Reaction,
HS6ST2,4OHPROIMINOtc,Gene->Reaction,
HS6ST2,PROIMINOtc,Gene->Reaction,
HS6ST2,ALAB0AT3tc,Gene->Reaction,
HS6ST2,ARGB0AT3tc,Gene->Reaction,
HS6ST2,ASNB0AT3tc,Gene->Reaction,
HS6ST2,CYSB0AT3tc,Gene->Reaction,
HS6ST2,GLNB0AT3tc,Gene->Reaction,
HS6ST2,GLUB0AT3tc,Gene->Reaction,
HS6ST2,GLYB0AT3tc,Gene->Reaction,
HS6ST2,ILEB0AT3tc,Gene->Reaction,
HS6ST2,LEUB0AT3tc,Gene->Reaction,
HS6ST2,METB0AT3tc,Gene->Reaction,
HS6ST2,PHEB0AT3tc,Gene->Reaction,
HS6ST2,SERB0AT3tc,Gene->Reaction,
HS6ST2,TRPB0AT3tc,Gene->Reaction,
HS6ST2,TYRB0AT3tc,Gene->Reaction,
HS6ST2,VALB0AT3tc,Gene->Reaction,
HS6ST2,GLNt4,Gene->Reaction,
HS6ST2,SELMETHte,Gene->Reaction,
SARS-CoV2,orf8,NEU1,Gene->Gene
NEU1,ALATA_L,Gene->Reaction,
NEU1,r0081,Gene->Reaction,
NEU1,VANILPYRc,Gene->Reaction,
SARS-CoV2,orf8,UGGT2,Gene->Gene
UGGT2,ALDD20x,Gene->Reaction,
UGGT2,BAMPPALDOX,Gene->Reaction,
UGGT2,LCADi_D,Gene->Reaction,
UGGT2,NABTNO,Gene->Reaction,
UGGT2,PYLALDOX,Gene->Reaction,
UGGT2,r0393,Gene->Reaction,
UGGT2,r0464,Gene->Reaction,
UGGT2,r0549,Gene->Reaction,
UGGT2,r0552,Gene->Reaction,
UGGT2,r0553,Gene->Reaction,
UGGT2,r0594,Gene->Reaction,
UGGT2,r0642,Gene->Reaction,
UGGT2,r0643,Gene->Reaction,
UGGT2,r0688,Gene->Reaction,
UGGT2,r0758,Gene->Reaction,
UGGT2,RE3012M,Gene->Reaction,
UGGT2,RE3346M,Gene->Reaction,
UGGT2,GCALDD,Gene->Reaction,
UGGT2,ALDD2x,Gene->Reaction,
UGGT2,IMACTD,Gene->Reaction,
UGGT2,LCADi,Gene->Reaction,
UGGT2,r0392,Gene->Reaction,
UGGT2,HMR_4079,Gene->Reaction,
SARS-CoV2,orf8,CHPF2,Gene->Gene
CHPF2,ALDD20x,Gene->Reaction,
CHPF2,ALDD2y,Gene->Reaction,
CHPF2,BAMPPALDOX,Gene->Reaction,
CHPF2,GLACO,Gene->Reaction,
CHPF2,LCADi_D,Gene->Reaction,
CHPF2,NABTNO,Gene->Reaction,
CHPF2,PYLALDOX,Gene->Reaction,
CHPF2,GCALDD,Gene->Reaction,
CHPF2,ALDD2x,Gene->Reaction,
CHPF2,IMACTD,Gene->Reaction,
CHPF2,LCADi,Gene->Reaction,
CHPF2,HMR_6647,Gene->Reaction,
SARS-CoV2,orf8,FKBP7,Gene->Gene
FKBP7,ALKP,Gene->Reaction,
FKBP7,FMNALKPle,Gene->Reaction,
FKBP7,HMR_4816,Gene->Reaction,
SARS-CoV2,orf8,FKBP10,Gene->Gene
FKBP10,ALKP,Gene->Reaction,
FKBP10,r0242,Gene->Reaction,
FKBP10,r0587,Gene->Reaction,
FKBP10,r0707,Gene->Reaction,
FKBP10,HMR_4816,Gene->Reaction,
SARS-CoV2,orf9b,MARK3,Gene->Gene
MARK3,ALOX15,Gene->Reaction,
MARK3,HMR_0985,Gene->Reaction,
MARK3,HMR_0986,Gene->Reaction,
MARK3,HMR_0987,Gene->Reaction,
MARK3,HMR_1388,Gene->Reaction,
MARK3,HMR_2440,Gene->Reaction,
SARS-CoV2,orf9b,MARK2,Gene->Gene
MARK2,ALOX5,Gene->Reaction,
MARK2,ALOX52,Gene->Reaction,
MARK2,RE2048N,Gene->Reaction,
MARK2,RE3033N,Gene->Reaction,
MARK2,RE3041N,Gene->Reaction,
MARK2,RE3044N,Gene->Reaction,
MARK2,RE3475N,Gene->Reaction,
MARK2,RE3485N,Gene->Reaction,
MARK2,RE3498N,Gene->Reaction,
MARK2,RE3503N,Gene->Reaction,
MARK2,RE3513N,Gene->Reaction,
MARK2,HMR_0998,Gene->Reaction,
MARK2,HMR_0999,Gene->Reaction,
MARK2,HMR_1077,Gene->Reaction,
MARK2,HMR_2561,Gene->Reaction,
MARK2,HMR_2578,Gene->Reaction,
MARK2,HMR_1018,Gene->Reaction,
SARS-CoV2,orf9b,DPH5,Gene->Gene
DPH5,ALR2,Gene->Reaction,
DPH5,ALR3,Gene->Reaction,
DPH5,ARABR,Gene->Reaction,
DPH5,LALDO2x,Gene->Reaction,
DPH5,PPDOx,Gene->Reaction,
DPH5,PPDOy,Gene->Reaction,
DPH5,SBTR,Gene->Reaction,
DPH5,HMR_7025,Gene->Reaction,
DPH5,HMR_7026,Gene->Reaction,
DPH5,HMR_7027,Gene->Reaction,
DPH5,HMR_7028,Gene->Reaction,
SARS-CoV2,orf9b,DCTPP1,Gene->Gene
DCTPP1,ALR2,Gene->Reaction,
DCTPP1,ALR3,Gene->Reaction,
DCTPP1,ARABR,Gene->Reaction,
DCTPP1,GALOR,Gene->Reaction,
DCTPP1,PPDOy,Gene->Reaction,
DCTPP1,SBTR,Gene->Reaction,
DCTPP1,r0245,Gene->Reaction,
DCTPP1,r0246,Gene->Reaction,
DCTPP1,HMR_1931,Gene->Reaction,
DCTPP1,HMR_3855,Gene->Reaction,
DCTPP1,HMR_4592,Gene->Reaction,
SARS-CoV2,orf9b,MARK1,Gene->Gene
MARK1,AMACR2p,Gene->Reaction,
MARK1,AMACR2r,Gene->Reaction,
MARK1,AMACRp,Gene->Reaction,
MARK1,AMACRr,Gene->Reaction,
MARK1,RE2624M,Gene->Reaction,
MARK1,RE2624X,Gene->Reaction,
MARK1,RE2759X,Gene->Reaction,
MARK1,RE3083X,Gene->Reaction,
MARK1,RE3195M,Gene->Reaction,
MARK1,HMR_1065,Gene->Reaction,
MARK1,HMR_1066,Gene->Reaction,
MARK1,HMR_1067,Gene->Reaction,
MARK1,HMR_1068,Gene->Reaction,
MARK1,HMR_1069,Gene->Reaction,
MARK1,HMR_1070,Gene->Reaction,
MARK1,HMR_1703,Gene->Reaction,
MARK1,HMR_1760,Gene->Reaction,
MARK1,HMR_1761,Gene->Reaction,
MARK1,HMR_3491,Gene->Reaction,
MARK1,HMR_6432,Gene->Reaction,
MARK1,HMR_6433,Gene->Reaction,
MARK1,HMR_6435,Gene->Reaction,
MARK1,HMR_6436,Gene->Reaction,
MARK1,HMR_6450,Gene->Reaction,
MARK1,HMR_6451,Gene->Reaction,
MARK1,HMR_6453,Gene->Reaction,
MARK1,HMR_6471,Gene->Reaction,
MARK1,HMR_6472,Gene->Reaction,
MARK1,HMR_6473,Gene->Reaction,
MARK1,HMR_6484,Gene->Reaction,
MARK1,HMR_6486,Gene->Reaction,
MARK1,HMR_1635,Gene->Reaction,
MARK1,IBUP_Rshep,Gene->Reaction,
SARS-CoV2,orf9c,GPAA1,Gene->Gene
GPAA1,AMETt2m,Gene->Reaction,
SARS-CoV2,orf9c,ABCC1,Gene->Gene
ABCC1,AMPDA,Gene->Reaction,
SARS-CoV2,orf9c,SLC30A6,Gene->Gene
SLC30A6,AMPTASECGe,Gene->Reaction,
SLC30A6,AMPTASECG,Gene->Reaction,
SARS-CoV2,orf9c,PIGO,Gene->Gene
PIGO,AMY1e,Gene->Reaction,
PIGO,AMY2e,Gene->Reaction,
PIGO,CYSTSERex,Gene->Reaction,
PIGO,SERLYSNaex,Gene->Reaction,
PIGO,CYSTALArBATtc,Gene->Reaction,
PIGO,CYSTLEUrBATtc,Gene->Reaction,
PIGO,ORNALArBATtc,Gene->Reaction,
PIGO,ORNLEUrBATtc,Gene->Reaction,
SARS-CoV2,orf9c,FAR2,Gene->Gene
FAR2,AMY1e,Gene->Reaction,
FAR2,AMY2e,Gene->Reaction,
FAR2,CYSTSERex,Gene->Reaction,
FAR2,r0946,Gene->Reaction,
FAR2,r1992,Gene->Reaction,
FAR2,r1993,Gene->Reaction,
FAR2,r1994,Gene->Reaction,
FAR2,r1995,Gene->Reaction,
FAR2,r1996,Gene->Reaction,
FAR2,r1997,Gene->Reaction,
FAR2,r1998,Gene->Reaction,
FAR2,r1999,Gene->Reaction,
FAR2,r2000,Gene->Reaction,
FAR2,r2001,Gene->Reaction,
FAR2,r2002,Gene->Reaction,
FAR2,r2003,Gene->Reaction,
FAR2,r2004,Gene->Reaction,
FAR2,r2005,Gene->Reaction,
FAR2,r2006,Gene->Reaction,
FAR2,r2007,Gene->Reaction,
FAR2,r2008,Gene->Reaction,
FAR2,r2009,Gene->Reaction,
FAR2,r2010,Gene->Reaction,
FAR2,r2011,Gene->Reaction,
FAR2,r2012,Gene->Reaction,
FAR2,r2013,Gene->Reaction,
FAR2,r2014,Gene->Reaction,
FAR2,r2015,Gene->Reaction,
FAR2,r2016,Gene->Reaction,
FAR2,r2017,Gene->Reaction,
FAR2,r2018,Gene->Reaction,
FAR2,r2019,Gene->Reaction,
FAR2,r2020,Gene->Reaction,
FAR2,r2021,Gene->Reaction,
FAR2,r2022,Gene->Reaction,
FAR2,r2023,Gene->Reaction,
FAR2,r2024,Gene->Reaction,
FAR2,r2026,Gene->Reaction,
FAR2,r2027,Gene->Reaction,
FAR2,r2028,Gene->Reaction,
FAR2,r2029,Gene->Reaction,
FAR2,r2030,Gene->Reaction,
FAR2,r2031,Gene->Reaction,
FAR2,r2032,Gene->Reaction,
FAR2,r2034,Gene->Reaction,
FAR2,r2035,Gene->Reaction,
FAR2,r2036,Gene->Reaction,
FAR2,r2037,Gene->Reaction,
FAR2,r2038,Gene->Reaction,
FAR2,r2039,Gene->Reaction,
FAR2,r2040,Gene->Reaction,
FAR2,r2041,Gene->Reaction,
FAR2,r2042,Gene->Reaction,
FAR2,r2043,Gene->Reaction,
FAR2,r2044,Gene->Reaction,
FAR2,r2045,Gene->Reaction,
FAR2,r2046,Gene->Reaction,
FAR2,r2047,Gene->Reaction,
FAR2,r2048,Gene->Reaction,
FAR2,r2049,Gene->Reaction,
FAR2,r2050,Gene->Reaction,
FAR2,r2051,Gene->Reaction,
FAR2,r2052,Gene->Reaction,
FAR2,r2053,Gene->Reaction,
FAR2,r2054,Gene->Reaction,
FAR2,r2055,Gene->Reaction,
FAR2,r2056,Gene->Reaction,
FAR2,r2057,Gene->Reaction,
FAR2,r2058,Gene->Reaction,
FAR2,r2059,Gene->Reaction,
FAR2,r2060,Gene->Reaction,
FAR2,r2061,Gene->Reaction,
FAR2,r2062,Gene->Reaction,
FAR2,r2063,Gene->Reaction,
FAR2,r2064,Gene->Reaction,
FAR2,r2065,Gene->Reaction,
FAR2,r2066,Gene->Reaction,
FAR2,r2067,Gene->Reaction,
FAR2,r2068,Gene->Reaction,
FAR2,r2069,Gene->Reaction,
FAR2,r2070,Gene->Reaction,
FAR2,r2071,Gene->Reaction,
FAR2,CYSTALArBATtc,Gene->Reaction,
FAR2,CYSTLEUrBATtc,Gene->Reaction,
FAR2,ORNALArBATtc,Gene->Reaction,
FAR2,ORNLEUrBATtc,Gene->Reaction,
SARS-CoV2,orf9c,ALG8,Gene->Gene
ALG8,AMY1e,Gene->Reaction,
ALG8,AMY2e,Gene->Reaction,
ALG8,RE0915E,Gene->Reaction,
ALG8,RE0926E,Gene->Reaction,
ALG8,RE0935E,Gene->Reaction,
ALG8,RE0944E,Gene->Reaction,
ALG8,RE0958E,Gene->Reaction,
ALG8,HMR_8570,Gene->Reaction,
ALG8,HMR_8571,Gene->Reaction,
ALG8,HMR_8572,Gene->Reaction,
ALG8,HMR_8573,Gene->Reaction,
ALG8,HMR_8574,Gene->Reaction,
ALG8,HMR_8575,Gene->Reaction,
ALG8,HMR_8576,Gene->Reaction,
ALG8,HMR_8577,Gene->Reaction,
ALG8,HMR_8578,Gene->Reaction,
ALG8,HMR_8579,Gene->Reaction,
ALG8,HMR_8580,Gene->Reaction,
ALG8,HMR_8582,Gene->Reaction,
SARS-CoV2,orf9c,ACAD9,Gene->Gene
ACAD9,AP4AH1,Gene->Reaction,
SARS-CoV2,orf9c,NDUFB9,Gene->Gene
NDUFB9,ARGNm,Gene->Reaction,
NDUFB9,ARGN,Gene->Reaction,
SARS-CoV2,orf9c,PIGS,Gene->Gene
PIGS,ARGSL,Gene->Reaction,
